#Axion frequency	#gann(GeV^-1)
24.6038720701385	3.79263982130389e-09
24.8501331297196	3.83922045299752e-09
25.0988590252946	3.88651480923884e-09
25.3500744274975	3.90533521830098e-09
25.6038042538915	3.91875272458338e-09
25.8600736714408	3.92537892590011e-09
26.1189080990066	3.95231601135948e-09
26.3803332098683	4.04112212861613e-09
26.6443749342704	4.13643383126598e-09
26.9110594619937	4.25716234518804e-09
27.180413244954	4.23911430546714e-09
27.4524629998249	4.10750583414837e-09
27.7272357106884	4.09343559434683e-09
28.004758631711	4.13019955411873e-09
28.2850592898472	4.17335109339228e-09
28.56816548757	4.21495037395069e-09
28.854105305628	4.27315916673415e-09
29.1429071058314	4.30574209504675e-09
29.4345995338647	4.31381822274245e-09
29.7292115221278	4.35325252335999e-09
30.0267722926066	4.43226594433782e-09
30.3273113597705	4.51821912826434e-09
30.6308585335005	4.57177451981854e-09
30.9374439220457	4.60627860765546e-09
31.2470979350099	4.64397738401549e-09
31.5598512863676	4.69388372774493e-09
31.8757349975107	4.74447440137897e-09
32.1947804003253	4.79099633237469e-09
32.5170191402994	4.8498493549174e-09
32.8424831796622	4.87778583608557e-09
33.1712048005536	4.88073692329369e-09
33.5032166082268	4.91924119704447e-09
33.8385515342823	5.0725161346368e-09
34.1772428399341	5.13673919676891e-09
34.5193241193088	5.07627269597213e-09
34.864829302778	5.08450282664644e-09
35.2137926603237	5.13856649770039e-09
35.5662488049371	5.22478957977556e-09
35.9222326960524	5.29767870002989e-09
36.281779643014	5.33840018044521e-09
36.6449253085786	5.35976176501254e-09
37.0117057124532	5.40103076527954e-09
37.3821572348669	5.47910287584153e-09
37.7563166201801	5.55004836882694e-09
38.1342209805289	5.61356545217159e-09
38.5159077995058	5.67541403245899e-09
38.9014149358784	5.71675746903939e-09
39.2907806273438	5.8019144218718e-09
39.6840434943218	5.86961844109714e-09
40.0812425437851	5.88979484965524e-09
40.482417173129	5.93208050863276e-09
40.8876071740785	5.99475233649807e-09
41.2968527366356	6.08304159891039e-09
41.7101944530655	6.15841989266862e-09
42.1276733219227	6.197543146647e-09
42.5493307521178	6.28802441479865e-09
42.975208567025	6.38325161885854e-09
43.4053490086298	6.43871814000903e-09
43.8397947417195	6.49526296002729e-09
44.2785888581146	6.57295758697372e-09
44.7217748809436	6.7407960216132e-09
45.1693967689593	6.8375264515277e-09
45.6214989208993	6.98424727444312e-09
46.0781261798898	7.08370326564006e-09
46.5393238378937	7.13523650450381e-09
47.0051376402025	7.24693574194695e-09
47.4756137899742	7.27409065729035e-09
47.9507989528159	7.71026889130307e-09
48.4307402614124	8.11777817620947e-09
48.9154853202014	8.02560725885113e-09
49.405082210095	8.06809035418781e-09
49.899579493249	5.88090764990376e-08
50.3990262178797	5.87412956247742e-08
50.9034719231285	8.05649017521435e-09
51.4129666439763	8.36509716910358e-09
51.9275609162057	8.57285255835207e-09
52.4473057814137	8.61597892299702e-09
52.9722527920749	8.58671946799309e-09
53.5024540166541	8.3172537745461e-09
54.0379620447715	8.35097389313904e-09
54.5788299924188	8.41641496461921e-09
55.1251115072274	8.41404388769441e-09
55.6768607737901	8.6464505749177e-09
56.2341325190349	8.79120773432306e-09
56.796982017654	8.80817002581524e-09
57.3654650975858	9.87687372263024e-09
57.9396381455526	1.13698329230194e-08
58.5195581126537	1.1949405829801e-08
59.1052825200137	1.18606556014937e-08
59.6968694644885	1.17022206372541e-08
60.2943776244275	1.18674022471636e-08
60.8978662654939	1.24561916480653e-08
61.5073952465429	1.30622365767894e-08
62.1230250255595	1.31264426081101e-08
62.7448166656546	1.1988920228784e-08
63.3728318411222	1.10649693295788e-08
64.0071328435565	1.21305292249013e-08
64.6477825880305	1.30564563398896e-08
65.2948446193367	1.16970508217109e-08
65.9483831182895	1.03419675773892e-08
66.6084629080916	1.28639279460603e-08
67.2751494607634	1.69337086973143e-08
67.9485089036373	1.71350148632273e-08
68.6286080259165	1.61904809079821e-08
69.3155142852997	1.57703340045925e-08
70.0092958146724	1.30263734213643e-08
70.7100214288645	1.11976455220963e-08
71.4177606314762	1.13578969682964e-08
72.1325836217715	1.23332747940526e-08
72.8545613016419	1.99037852792845e-08
73.5837652826379	2.33850633673857e-08
74.3202678930733	1.95618410189396e-08
75.0641421851981	1.88563793416168e-08
75.8154619424453	2.04022814875622e-08
76.5743016867489	2.03764733687148e-08
77.3407366859356	1.85799323016599e-08
78.1148429611907	2.04738197224951e-08
78.8966972945981	2.08119479193087e-08
79.6863772367566	1.84179627159839e-08
80.4839611144717	1.95192540146692e-08
81.2895280385249	2.47697887745243e-08
82.1031579115202	3.05280632955752e-08
82.9249314358099	3.51777256117735e-08
83.754930121499	3.72813168577464e-08
84.5932362945302	3.39644345935928e-08
85.4399331048495	3.30057177742826e-08
86.2951045346539	3.38348935399447e-08
87.1588354067211	2.95841926518182e-08
88.0312113928233	2.66449748351261e-08
88.9123190222245	2.34549129645186e-08
89.8022456902634	2.09403865064803e-08
90.7010796670215	2.0981933129135e-08
91.6089101060794	2.14292276227219e-08
92.5258270533586	2.21510858632275e-08
93.4519214560537	2.10220272651601e-08
94.3872851716534	1.91243060397663e-08
95.332010977051	1.80476391376524e-08
96.2861925777473	1.85310513552737e-08
97.2499246171449	1.92501126712163e-08
98.2233026859357	2.03191418235977e-08
99.2064233315822	1.04098374039178e-07
100.199384067894	1.09363417025956e-07
101.202283384701	3.27726065572698e-08
102.215220757619	3.43170940374547e-08
